udid,install_date,lang,country,hw_ver,os_ver
88258a36ad1447c4b407bb782c9f7f39,3/1/2016,th,TH,"iPhone6,2",9.2.1
8f3d900d5d624e95afc95a1e5ffe49fb,3/1/2016,id,ID,"iPhone6,1",8
90167c9cf1b9406fb81401da39b800b9,3/1/2016,en,US,"iPad5,1",9.2.1
479dbe15a9b5421a903361931d5d579c,3/1/2016,en,GB,"iPhone8,2",9.2.1
c2c421a8a7054a90b57bf67af45f9722,3/1/2016,pt,AO,"iPhone7,2",9.2.1
8e35ec9a39d34574b079cc74d75bc7b8,3/1/2016,en,US,"iPhone6,1",9.2.1
4f5edcc5f21c4678aad7c8d8176ef4fd,3/1/2016,nl,NL,"iPad5,3",9.2
f79a8b4f6d7746ad85a54d17a10c881e,3/1/2016,pt,GB,"iPhone6,2",9.2
8a655a5ffa7a4b5cbca770952249df77,3/1/2016,sv,SE,"iPhone3,1",7.1.2
9f9fb8128a5942319252050620b872e3,3/1/2016,en,US,"iPhone7,2",9.2.1
246ade63b66b428ca1da437f26645834,3/1/2016,en,GB,"iPhone7,2",9.2
34071766039743b4989db6054bb5e735,3/1/2016,en,US,"iPad2,5",7.1.2
12f3a32eff314d2d8bbe5b14502a5cc9,3/1/2016,en,US,"iPhone6,1",9.2.1
cc1a402019f341e9984d0278fb0b2dc9,3/1/2016,en,US,"iPhone6,1",9.2.1
94fc88e8f8754843a1ffcf163dbb04da,3/1/2016,en,US,"iPhone5,3",8.4.1
f1e35a0fc26d4530be1ecf21a5338afb,3/1/2016,en,US,"iPhone7,2",9.2.1
1d357139b766455a81c9b139a6079058,3/1/2016,en,IN,"iPhone6,2",9.2.1
82747438039e44598a5079fd036918b6,3/1/2016,en,US,"iPhone5,3",9.2.1
5f67329338a94ba2af29d46229fa3238,3/1/2016,en,US,"iPhone7,1",9.2.1
b4e003dd595641f7baf7bf659cdb3a21,3/1/2016,en,US,"iPhone8,1",9.2.1
6f7b51a9185249fdbaa9fc0a5cfd8658,3/2/2016,en,PH,"iPad2,5",9.1
b158502ed8364cdf9097ee2187241b25,3/2/2016,en,TR,"iPad4,7",9.2.1
c9db457c9fd645eaac6d286f77dbb8d8,3/2/2016,en,CA,"iPad4,4",9.2.1
a6345a646c7e4fc48e3449e1b98ffc78,3/2/2016,en,CA,"iPhone4,1",9.2.1
35ee756ee7514850b410de8dd9440a2e,3/2/2016,en,US,"iPad2,2",9.2.1
7edcf7301ba1426ea680e511bce27054,3/2/2016,en,GB,"iPhone4,1",9.2.1
31b7a1627cc7498ca8232f48301e28d0,3/2/2016,en,GB,"iPhone8,1",9.2.1
3fdf0751c2874c6197cf0c83596eb3b5,3/2/2016,nb,NO,"iPad4,4",9.2.1
b60a9b58fb3941d58b4b4b42370809d4,3/2/2016,en,GB,"iPhone8,1",9.2.1
824289d957644e589df215f636551c04,3/2/2016,ar,SA,"iPhone7,2",9.1
7244d9ec3b2e4ade8e8611ce1f4da1d9,3/2/2016,en,US,"iPhone6,1",9.2.1
98d5b74ffc374379a257f040efa179ba,3/2/2016,en,US,"iPad4,4",9.2.1
9b40a8069d7f487689d3fa337b31824a,3/2/2016,en,GB,"iPhone7,2",8.3
fc0d6618c3194d47a9636cd11fac27bc,3/2/2016,en,US,"iPhone8,1",9.2.1
54cf56d988d54d3393375934300d224d,3/2/2016,en,US,"iPhone7,1",9.2.1
e574a9e59be347d691ea75b38ec06f2c,3/2/2016,en,AS,"iPhone7,2",9.2.1
971490526310421ba837f4282da4d473,3/2/2016,ko,Ko,"iPhone8,2",9.2.1
f7245b6452a547d7abbd92b9c345a55b,3/3/2016,en,AU,"iPhone3,1",7.1.2
17aab0aecba146c6937e1c68247d3c44,3/3/2016,id,ID,"iPhone4,1",9.2.1
9666c4b3d740468b99f20d59ac6271b5,3/3/2016,da,DK,"iPhone4,1",8.4
a2bb6c8fbaba465898f3ed6aecccf9fa,3/3/2016,en,AU,"iPod5,1",9.2.1
