udid,lang,country,hw_ver,os_ver,purchased,morning,afternoon,night,weekday,weekend,duration,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14,first_week_count,first_week_avg,days_played_firstweek,second_week_count,second_week_avg,days_played_secondweek
88258a36ad1447c4b407bb782c9f7f39,th,TH,"iPhone6,2",9.2.1,N,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0
8f3d900d5d624e95afc95a1e5ffe49fb,id,ID,"iPhone6,1",8,N,1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
90167c9cf1b9406fb81401da39b800b9,en,US,"iPad5,1",9.2.1,N,2,2,0,3,1,11,2,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,1,0,1
479dbe15a9b5421a903361931d5d579c,en,GB,"iPhone8,2",9.2.1,N,49,33,29,106,5,37,8,20,7,16,2,2,9,9,5,14,1,0,1,4,64,9,7,34,5,6
c2c421a8a7054a90b57bf67af45f9722,pt,AO,"iPhone7,2",9.2.1,N,22,10,18,50,0,16,7,23,16,0,0,0,0,0,0,1,0,0,0,0,46,7,3,1,0,1
8e35ec9a39d34574b079cc74d75bc7b8,en,US,"iPhone6,1",9.2.1,N,27,1,0,28,0,58,1,1,7,0,0,0,6,6,0,0,0,0,0,2,15,2,4,8,1,2
4f5edcc5f21c4678aad7c8d8176ef4fd,nl,NL,"iPad5,3",9.2,N,30,9,7,40,6,6,8,18,11,2,4,2,1,0,0,0,0,0,0,0,46,7,7,0,0,0
f79a8b4f6d7746ad85a54d17a10c881e,pt,GB,"iPhone6,2",9.2,N,1,4,0,5,0,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,5,1,3,0,0,0
8a655a5ffa7a4b5cbca770952249df77,sv,SE,"iPhone3,1",7.1.2,N,0,5,0,4,1,14,3,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0
9f9fb8128a5942319252050620b872e3,en,US,"iPhone7,2",9.2.1,N,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
246ade63b66b428ca1da437f26645834,en,GB,"iPhone7,2",9.2,N,15,11,4,30,0,2,5,12,13,0,0,0,0,0,0,0,0,0,0,0,30,4,3,0,0,0
34071766039743b4989db6054bb5e735,en,US,"iPad2,5",7.1.2,N,46,60,15,85,36,60,2,0,0,0,0,0,1,1,0,1,3,6,4,2,3,0,2,17,2,6
12f3a32eff314d2d8bbe5b14502a5cc9,en,US,"iPhone6,1",9.2.1,N,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
cc1a402019f341e9984d0278fb0b2dc9,en,US,"iPhone6,1",9.2.1,N,3,45,0,48,0,17,10,2,3,25,0,0,2,0,3,0,0,0,0,2,42,6,5,5,1,2
94fc88e8f8754843a1ffcf163dbb04da,en,US,"iPhone5,3",8.4.1,N,0,11,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,1,0,0,0
f1e35a0fc26d4530be1ecf21a5338afb,en,US,"iPhone7,2",9.2.1,N,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1d357139b766455a81c9b139a6079058,en,IN,"iPhone6,2",9.2.1,N,0,7,10,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,1,0,0,0
82747438039e44598a5079fd036918b6,en,US,"iPhone5,3",9.2.1,N,0,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
5f67329338a94ba2af29d46229fa3238,en,US,"iPhone7,1",9.2.1,N,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
b4e003dd595641f7baf7bf659cdb3a21,en,US,"iPhone8,1",9.2.1,N,6,20,21,36,11,31,1,10,9,12,7,3,1,1,0,0,0,0,0,0,43,6,7,1,0,1
6f7b51a9185249fdbaa9fc0a5cfd8658,en,PH,"iPad2,5",9.1,N,6,3,10,15,4,9,2,3,4,4,0,0,2,0,2,2,0,0,0,0,15,2,5,4,1,2
b158502ed8364cdf9097ee2187241b25,en,TR,"iPad4,7",9.2.1,N,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
c9db457c9fd645eaac6d286f77dbb8d8,en,CA,"iPad4,4",9.2.1,N,7,9,3,16,3,31,6,2,3,1,1,0,0,0,0,4,0,0,0,0,13,2,5,4,1,1
a6345a646c7e4fc48e3449e1b98ffc78,en,CA,"iPhone4,1",9.2.1,N,25,62,14,63,38,61,9,1,11,1,7,2,4,3,0,1,2,0,1,4,35,5,7,11,2,5
35ee756ee7514850b410de8dd9440a2e,en,US,"iPad2,2",9.2.1,N,5,4,0,7,2,4,4,3,0,0,2,0,0,0,0,0,0,0,0,0,9,1,3,0,0,0
7edcf7301ba1426ea680e511bce27054,en,GB,"iPhone4,1",9.2.1,N,2,0,0,1,1,11,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1
31b7a1627cc7498ca8232f48301e28d0,en,GB,"iPhone8,1",9.2.1,N,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
3fdf0751c2874c6197cf0c83596eb3b5,nb,NO,"iPad4,4",9.2.1,N,48,0,7,32,23,48,4,0,1,0,0,0,0,0,0,0,0,16,4,2,5,1,2,22,3,3
b60a9b58fb3941d58b4b4b42370809d4,en,GB,"iPhone8,1",9.2.1,N,30,4,3,21,16,7,5,1,2,16,0,0,4,9,0,0,0,0,0,0,28,4,5,9,1,1
824289d957644e589df215f636551c04,ar,SA,"iPhone7,2",9.1,N,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
7244d9ec3b2e4ade8e8611ce1f4da1d9,en,US,"iPhone6,1",9.2.1,Y,14,21,2,29,8,3,2,6,21,8,0,0,0,0,0,0,0,0,0,0,37,5,4,0,0,0
98d5b74ffc374379a257f040efa179ba,en,US,"iPad4,4",9.2.1,N,0,6,0,4,2,6,3,0,0,0,2,0,1,0,0,0,0,0,0,0,6,1,3,0,0,0
9b40a8069d7f487689d3fa337b31824a,en,GB,"iPhone7,2",8.3,N,20,33,6,48,11,11,4,5,7,1,9,5,9,10,6,2,0,1,0,0,40,6,7,19,3,4
fc0d6618c3194d47a9636cd11fac27bc,en,US,"iPhone8,1",9.2.1,Y,7,11,0,16,2,3,8,4,4,2,0,0,0,0,0,0,0,0,0,0,18,3,4,0,0,0
54cf56d988d54d3393375934300d224d,en,US,"iPhone7,1",9.2.1,Y,11,3,3,6,11,2,3,3,0,11,0,0,0,0,0,0,0,0,0,0,17,2,3,0,0,0
e574a9e59be347d691ea75b38ec06f2c,en,AS,"iPhone7,2",9.2.1,N,2,0,10,9,3,24,8,1,0,0,0,0,0,0,0,0,0,2,0,0,9,1,2,2,0,1
971490526310421ba837f4282da4d473,ko,Ko,"iPhone8,2",9.2.1,N,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
f7245b6452a547d7abbd92b9c345a55b,en,AU,"iPhone3,1",7.1.2,N,2,2,2,5,1,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,6,1,3,0,0,0
17aab0aecba146c6937e1c68247d3c44,id,ID,"iPhone4,1",9.2.1,N,1,0,4,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0
9666c4b3d740468b99f20d59ac6271b5,da,DK,"iPhone4,1",8.4,N,4,0,4,8,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,2,0,0,0
a2bb6c8fbaba465898f3ed6aecccf9fa,en,AU,"iPod5,1",9.2.1,Y,26,26,42,73,21,35,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1,0,1
e7ce05ac0bcc4fdda4bfeca430680f7d,en,US,"iPhone6,1",7.0.4,N,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
be262f7cb714496dabe7da996ab48a19,zh,CN,"iPhone7,2",8.3,N,8,8,0,16,0,2,7,9,0,0,0,0,0,0,0,0,0,0,0,0,16,2,2,0,0,0
